Datetime,Team,Credits
2020-04-14 00:00:00,MindBridge Ai,0
2020-04-14 00:00:00,Shopify,0
2020-04-14 12:30:00,MindBridge Ai,1593228
2020-04-14 12:30:00,Shopify,1679629
2020-04-14 17:02:15,Shopify,2356183
2020-04-14 17:12:12,MindBridge Ai,2134876
2020-04-14 18:22:17,MindBridge Ai,2452140
2020-04-14 18:32:21,Shopify,2775871
2020-04-14 20:42:07,MindBridge Ai,2691026
2020-04-14 20:42:07,Shopify,3059547
2020-04-14 23:22:16,MindBridge Ai,2821836
2020-04-14 23:22:14,Shopify,3761999
2020-04-15 01:02:02,MindBridge Ai,3067466
2020-04-15 01:11:56,Shopify,4241522
2020-04-15 01:33:13,MindBridge Ai,3234344
2020-04-15 01:33:04,Shopify,4246028
2020-04-15 01:52:16,MindBridge Ai,3244711
2020-04-15 01:52:16,Shopify,4259739
2020-04-15 02:12:10,Shopify,4487903
2020-04-15 02:33:14,MindBridge Ai,3382918
2020-04-15 02:42:12,Shopify,4516100
2020-04-15 03:22:10,MindBridge Ai,3505694
2020-04-15 03:22:10,Shopify,4531092
2020-04-15 03:42:12,MindBridge Ai,3517789
2020-04-15 03:42:17,Shopify,4581296
2020-04-15 04:22:06,MindBridge Ai,3630248
2020-04-15 04:22:21,Shopify,4602629
2020-04-15 04:52:12,MindBridge Ai,3758496
2020-04-15 04:42:16,Shopify,4609531
2020-04-15 05:12:10,MindBridge Ai,4144842
2020-04-15 05:22:10,Shopify,5061707
2020-04-15 05:32:20,MindBridge Ai,4145889
2020-04-15 05:42:15,Shopify,5075781
2020-04-15 06:12:04,MindBridge Ai,4253263
2020-04-15 06:22:07,Shopify,5095917
2020-04-15 06:52:08,MindBridge Ai,4364620
2020-04-15 06:42:04,Shopify,5270713
2020-04-15 07:12:15,MindBridge Ai,4534123
2020-04-15 07:02:28,Shopify,5291991
2020-04-15 07:52:18,MindBridge Ai,4677866
2020-04-15 07:42:07,Shopify,5324848
2020-04-15 08:12:05,MindBridge Ai,4784271
2020-04-15 08:02:14,Shopify,5328181
2020-04-15 08:22:29,MindBridge Ai,4792658
2020-04-15 08:42:20,Shopify,5500161
2020-04-15 09:02:15,MindBridge Ai,4877935
2020-04-15 09:02:12,Shopify,5609411
2020-04-15 09:32:03,MindBridge Ai,4878355
2020-04-15 09:42:13,Shopify,5621664
2020-04-15 10:12:26,MindBridge Ai,4886452
2020-04-15 10:02:21,Shopify,5628283
2020-04-15 10:32:10,MindBridge Ai,4887374
2020-04-15 10:42:20,Shopify,5747616
2020-04-15 11:12:04,MindBridge Ai,4970152
2020-04-15 11:22:13,Shopify,5858209
2020-04-15 11:52:10,MindBridge Ai,5051052
2020-04-15 11:42:14,Shopify,6002403
2020-04-15 12:22:18,MindBridge Ai,5151635
2020-04-15 12:22:15,Shopify,6020079
2020-04-15 12:42:03,MindBridge Ai,5160808
2020-04-15 12:32:22,Shopify,6082210
2020-04-15 13:02:21,Shopify,6106409
2020-04-15 13:22:14,MindBridge Ai,5165171
2020-04-15 13:42:22,Shopify,6296714
2020-04-15 13:51:59,MindBridge Ai,5169043
2020-04-15 14:02:00,Shopify,6307810
2020-04-15 14:32:24,MindBridge Ai,5327385
2020-04-15 14:42:28,Shopify,6347635
2020-04-15 15:22:20,MindBridge Ai,5449121
2020-04-15 15:22:19,Shopify,6575015
2020-04-15 15:52:18,MindBridge Ai,5511113
2020-04-15 15:31:57,Shopify,6577513
2020-04-15 16:12:20,MindBridge Ai,5669849
2020-04-15 16:02:23,Shopify,6596820
2020-04-15 16:32:08,MindBridge Ai,5741110
2020-04-15 16:42:10,Shopify,6854022
2020-04-15 17:12:09,MindBridge Ai,5846251
2020-04-15 16:42:10,Shopify,6854022
2020-04-15 17:32:18,MindBridge Ai,5847829
2020-04-15 17:32:23,Shopify,6881740
2020-04-15 18:02:28,MindBridge Ai,5852122
2020-04-15 18:12:11,Shopify,6933742
2020-04-15 18:02:28,MindBridge Ai,5852122
2020-04-15 18:12:11,Shopify,6933742
2020-04-15 18:42:15,MindBridge Ai,5955796
2020-04-15 18:31:56,Shopify,6957817
2020-04-15 19:12:25,MindBridge Ai,6088103
2020-04-15 19:12:17,Shopify,7202294
2020-04-15 19:52:08,MindBridge Ai,6355689
2020-04-15 19:41:57,Shopify,7268729
2020-04-15 20:12:32,MindBridge Ai,6420600
2020-04-15 20:02:10,Shopify,7282369
2020-04-15 20:42:09,MindBridge Ai,6435931
2020-04-15 20:32:21,Shopify,7466903
2020-04-15 21:22:11,MindBridge Ai,6896614
2020-04-15 21:22:08,Shopify,7486585
2020-04-15 21:52:08,MindBridge Ai,6904320
2020-04-15 21:42:11,Shopify,7512987
2020-04-15 22:12:19,MindBridge Ai,6991542
2020-04-15 22:22:02,Shopify,7523189
2020-04-15 22:32:09,MindBridge Ai,7010663
2020-04-15 22:42:25,Shopify,7671398
2020-04-15 23:22:16,MindBridge Ai,7017287
2020-04-15 23:12:12,Shopify,7697520
2020-04-15 23:42:02,MindBridge Ai,7161179
2020-04-15 23:52:28,Shopify,8046506
2020-04-16 00:12:06,MindBridge Ai,7173321
2020-04-16 00:22:17,Shopify,8255566
2020-04-16 00:32:19,MindBridge Ai,7255658
2020-04-16 00:42:05,Shopify,8265624
2020-04-16 01:02:09,MindBridge Ai,7305068
2020-04-16 01:12:14,Shopify,8289948
2020-04-16 01:42:06,MindBridge Ai,7312086
2020-04-16 01:32:19,Shopify,8299394
2020-04-16 02:12:14,MindBridge Ai,7473254
2020-04-16 02:12:08,Shopify,8399180
2020-04-16 02:22:29,MindBridge Ai,7674871
2020-04-16 02:49:26,Shopify,8528910
2020-04-16 03:17:24,MindBridge Ai,7756780
2020-04-16 02:59:35,Shopify,8690614
2020-04-16 03:39:33,MindBridge Ai,7795680
2020-04-16 03:43:21,Shopify,8911198
2020-04-16 04:12:53,MindBridge Ai,8002478
2020-04-16 04:22:45,Shopify,8952529
2020-04-16 04:52:32,MindBridge Ai,8035052
2020-04-16 04:42:27,Shopify,9000987
2020-04-16 05:12:42,MindBridge Ai,8124171
2020-04-16 05:22:41,Shopify,9028099
2020-04-16 05:42:13,MindBridge Ai,8138758
2020-04-16 05:42:15,Shopify,9137350
2020-04-16 06:22:15,MindBridge Ai,8209131
2020-04-16 06:22:33,Shopify,9193326
2020-04-16 06:42:09,MindBridge Ai,8303983
2020-04-16 06:42:33,Shopify,9220761
2020-04-16 07:22:14,MindBridge Ai,8316921
2020-04-16 07:22:19,Shopify,9401468
2020-04-16 07:42:12,MindBridge Ai,8323977
2020-04-16 07:42:17,Shopify,9503925
2020-04-16 08:02:37,MindBridge Ai,8423421
2020-04-16 08:13:06,Shopify,9530775
2020-04-16 08:42:33,MindBridge Ai,8506091
2020-04-16 08:42:29,Shopify,9538418
2020-04-16 09:13:04,MindBridge Ai,8760808
2020-04-16 09:02:24,Shopify,9545457
2020-04-16 09:32:18,MindBridge Ai,8828306
2020-04-16 09:42:06,Shopify,9678643
2020-04-16 10:22:27,MindBridge Ai,8849832
2020-04-16 10:02:28,Shopify,9687827
2020-04-16 10:42:03,MindBridge Ai,8928759
2020-04-16 10:42:15,Shopify,9850245
2020-04-16 11:22:26,MindBridge Ai,8946002
2020-04-16 11:22:11,Shopify,9957383
2020-04-16 11:42:09,MindBridge Ai,9043043
2020-04-16 11:32:20,Shopify,9962279
2020-04-16 12:02:26,MindBridge Ai,9067301
2020-04-16 12:13:49,Shopify,9984405
2020-04-16 12:52:12,MindBridge Ai,9157509
2020-04-16 12:42:14,Shopify,10006153
2020-04-16 13:02:22,MindBridge Ai,9166087
2020-04-16 13:02:30,Shopify,10029510
2020-04-16 13:32:17,MindBridge Ai,9176370
2020-04-16 13:42:03,Shopify,10050775
2020-04-16 13:32:17,MindBridge Ai,9176370
2020-04-16 14:22:23,Shopify,10080225
2020-04-16 14:42:17,MindBridge Ai,9392251
2020-04-16 14:42:23,Shopify,10122590
2020-04-16 15:02:23,MindBridge Ai,9414747
2020-04-16 15:02:16,Shopify,10177370
2020-04-16 15:42:07,MindBridge Ai,9427611
2020-04-16 15:42:11,Shopify,10300718
2020-04-16 16:02:14,MindBridge Ai,9681658
2020-04-16 15:52:08,Shopify,10313497
2020-04-16 16:42:03,MindBridge Ai,10097610
2020-04-16 16:42:17,Shopify,10360596
2020-04-16 17:12:08,MindBridge Ai,10129915
2020-04-16 16:52:23,Shopify,10371766
2020-04-16 17:52:16,MindBridge Ai,10308771
2020-04-16 17:42:15,Shopify,10469999
2020-04-16 18:12:07,MindBridge Ai,10465555
2020-04-16 18:12:19,Shopify,10567999
2020-04-16 18:42:05,MindBridge Ai,10935088
2020-04-16 18:52:19,Shopify,10932363
2020-04-16 19:02:17,MindBridge Ai,11081822
2020-04-16 19:12:18,Shopify,11069386
2020-04-16 19:42:14,MindBridge Ai,11091132
2020-04-16 19:52:29,Shopify,11398168
2020-04-16 20:12:09,MindBridge Ai,11278989
2020-04-16 20:22:25,Shopify,11465100
2020-04-16 20:32:02,MindBridge Ai,11650651
2020-04-16 20:22:25,Shopify,11465100
2020-04-16 20:52:05,MindBridge Ai,11933953
2020-04-16 20:42:28,Shopify,11491282
2020-04-16 21:22:31,MindBridge Ai,12059432
2020-04-16 21:12:03,Shopify,11746525
2020-04-16 21:42:43,MindBridge Ai,12064576
2020-04-16 21:52:14,Shopify,11921015
2020-04-16 22:12:27,MindBridge Ai,12299664
2020-04-16 22:12:29,Shopify,11933374
2020-04-16 22:52:00,MindBridge Ai,12708938
2020-04-16 22:42:17,Shopify,12218433
2020-04-16 23:12:17,MindBridge Ai,12815945
2020-04-16 23:22:13,Shopify,12251840
2020-04-16 23:42:22,MindBridge Ai,13164365
2020-04-16 23:42:32,Shopify,12382480
2020-04-17 00:12:19,MindBridge Ai,13494899
2020-04-17 00:12:26,Shopify,12406416
2020-04-17 00:42:12,MindBridge Ai,13715725
2020-04-17 00:42:12,Shopify,12493571
2020-04-17 01:22:12,MindBridge Ai,13853072
2020-04-17 01:22:23,Shopify,12532172
2020-04-17 01:42:22,MindBridge Ai,13953314
2020-04-17 01:42:33,Shopify,12745037
2020-04-17 02:02:23,MindBridge Ai,14170097
2020-04-17 02:22:14,Shopify,12780010
2020-04-17 02:52:17,MindBridge Ai,14554286
2020-04-17 02:52:15,Shopify,13015627
2020-04-17 03:12:08,MindBridge Ai,14579777
2020-04-17 03:12:11,Shopify,13073911
2020-04-17 03:32:15,MindBridge Ai,14904769
2020-04-17 03:32:08,Shopify,13086688
2020-04-17 04:12:13,MindBridge Ai,15411009
2020-04-17 04:12:24,Shopify,13284014
2020-04-17 04:42:25,MindBridge Ai,15761243
2020-04-17 04:42:19,Shopify,13324091
2020-04-17 04:52:27,MindBridge Ai,15842370
2020-04-17 04:52:16,Shopify,13332657
2020-04-17 05:42:44,MindBridge Ai,15852584
2020-04-17 05:42:54,Shopify,13414902
2020-04-17 06:22:16,MindBridge Ai,16250403
2020-04-17 06:22:31,Shopify,13455604
2020-04-17 06:42:30,MindBridge Ai,16485557
2020-04-17 06:42:16,Shopify,13520423
2020-04-17 07:02:25,MindBridge Ai,16773729
2020-04-17 07:22:18,Shopify,13704159
2020-04-17 07:42:29,MindBridge Ai,17076870
2020-04-17 07:42:32,Shopify,13899127
2020-04-17 08:02:34,MindBridge Ai,17078936
2020-04-17 08:02:13,Shopify,13933204
2020-04-17 08:42:32,MindBridge Ai,17516591
2020-04-17 08:22:28,Shopify,13951739
2020-04-17 09:22:11,MindBridge Ai,17750379
2020-04-17 09:22:20,Shopify,14007221
2020-04-17 09:42:24,MindBridge Ai,17760258
2020-04-17 09:42:30,Shopify,14094032
2020-04-17 10:02:15,MindBridge Ai,17800330
2020-04-17 10:22:26,Shopify,14326878
2020-04-17 10:42:14,MindBridge Ai,18280813
2020-04-17 10:42:09,Shopify,14340910
2020-04-17 11:22:27,MindBridge Ai,18664971
2020-04-17 11:22:08,Shopify,14364631
2020-04-17 11:32:16,MindBridge Ai,18674953
2020-04-17 11:42:12,Shopify,14564205
2020-04-17 12:12:32,MindBridge Ai,19158742
2020-04-17 12:12:14,Shopify,14740976
2020-04-17 12:32:27,MindBridge Ai,19172931
2020-04-17 12:42:24,Shopify,14929618
2020-04-17 12:52:23,MindBridge Ai,19465570
2020-04-17 12:42:24,Shopify,14929618
2020-04-17 13:22:12,MindBridge Ai,19537208
2020-04-17 13:22:25,Shopify,15037879
2020-04-17 13:42:17,MindBridge Ai,20118511
2020-04-17 13:32:31,Shopify,15131520
2020-04-17 14:12:08,MindBridge Ai,20142318
2020-04-17 14:12:11,Shopify,15278689
2020-04-17 14:32:12,MindBridge Ai,20221829
2020-04-17 14:42:23,Shopify,15428666
2020-04-17 15:02:29,MindBridge Ai,20425451
2020-04-17 15:02:24,Shopify,15475639
2020-04-17 15:42:34,MindBridge Ai,20478296
2020-04-17 15:52:10,Shopify,15652802
2020-04-17 16:22:36,MindBridge Ai,20839683
2020-04-17 16:22:37,Shopify,16193219
2020-04-17 16:52:09,MindBridge Ai,21083304
2020-04-17 16:52:34,Shopify,16395304
2020-04-17 17:22:32,MindBridge Ai,21248986
2020-04-17 17:22:01,Shopify,16427750
2020-04-17 17:32:09,MindBridge Ai,21409114
2020-04-17 17:42:19,Shopify,16546263
2020-04-17 18:02:40,MindBridge Ai,21503676
2020-04-17 18:12:28,Shopify,16758171
2020-04-17 18:42:17,MindBridge Ai,22025744
2020-04-17 18:52:21,Shopify,16970421
2020-04-17 19:22:10,MindBridge Ai,22191785
